Case name,kbar_ch,kc_ch,kt_ch,krms_ch,Ra_ch,incx_ch,incz_ch,pro_ch,ESx_ch,ESz_ch,sk_ch,ku_ch,ks,label
chn_r4_Re1000_reg_inc1,0.0258,0.0424,0.0424,0.0128,0.0108,-0.8014,-0.0858,0.3919,0.5837,0.5094,-0.5438,2.1767,0.0194,DNS
chn_r4_Re1000_reg_inc2,0.0303,0.0591,0.0591,0.0211,0.0186,0.0117,0.0323,0.4867,1.0294,0.5615,-0.2648,1.5969,0.0497,DNS
chn_r4_Re1000_reg_inc3,0.0250,0.0424,0.0424,0.0130,0.0110,0.8208,-0.0779,0.4109,0.6000,0.4852,-0.4588,2.0522,0.0310,DNS
chn_r6_Re1000_reg_inc1,0.0321,0.0641,0.0641,0.0219,0.0194,-0.9779,0.0161,0.4975,0.5949,0.5900,-0.1671,1.6007,0.0644,DNS
chn_r6_Re1000_reg_inc2,0.0376,0.0876,0.0876,0.0326,0.0298,0.0245,0.0642,0.5703,0.9158,0.6427,0.1093,1.4355,0.1244,DNS
chn_r6_Re1000_reg_inc3,0.0311,0.0641,0.0641,0.0218,0.0193,0.9552,0.1214,0.5141,0.5876,0.5583,-0.0874,1.5898,0.0589,DNS
chn_r4_Re1000_rnd_inc1,0.0247,0.0859,0.0827,0.0223,0.0190,-0.8595,0.0325,0.7118,0.5114,0.5594,0.5600,2.2435,0.1362,DNS
chn_r4_Re1000_rnd_inc2,0.0272,0.1161,0.1161,0.0298,0.0254,-0.0072,0.0482,0.7642,0.8612,0.6044,0.8702,2.6269,0.3223,DNS
chn_r4_Re1000_rnd_inc3,0.0249,0.0827,0.0811,0.0214,0.0181,0.8289,0.0023,0.6976,0.5168,0.4822,0.5141,2.2923,0.1311,DNS
chn_r6_Re1000_rnd_inc1,0.0255,0.1249,0.1204,0.0298,0.0253,-0.9568,-0.0192,0.7954,0.4979,0.5784,0.9671,2.8737,0.2689,DNS
chn_r6_Re1000_rnd_inc2,0.0333,0.1723,0.1723,0.0437,0.0367,0.0759,0.1382,0.8066,0.7579,0.5429,1.1501,3.1762,0.5364,DNS
chn_r6_Re1000_rnd_inc3,0.0317,0.1272,0.1249,0.0315,0.0266,0.9232,0.0317,0.7500,0.5076,0.4713,0.7575,2.6415,0.2717,DNS
chn_r4_Re1000_reg_por1,0.0377,0.0591,0.0591,0.0182,0.0151,0.0243,0.0656,0.3610,1.0430,0.5228,-0.8199,2.5081,0.0414,DNS
