Case name,kbar_ch,kc_ch,kt_ch,krms_ch,Ra_ch,incx_ch,incz_ch,pro_ch,ESx_ch,ESz_ch,sk_ch,ku_ch,ks,label
chn_r4_Re1000_reg_por2,0.0175,0.0591,0.0591,0.0217,0.0197,0.0208,0.0378,0.7027,0.6130,0.4559,0.7078,1.8403,0.1406,DNS
chn_r4_Re1000_reg_por3,0.0095,0.0591,0.0591,0.0182,0.0143,0.0224,0.0630,0.8384,0.3337,0.2526,1.6456,4.0941,0.1571,DNS
chn_r6_Re1000_reg_por1,0.0505,0.0893,0.0893,0.0304,0.0262,0.0409,0.1494,0.4329,1.1370,0.5343,-0.5377,1.8731,0.0767,DNS
chn_r6_Re1000_reg_por2,0.0219,0.0893,0.0893,0.0310,0.0274,0.0406,0.0796,0.7539,0.5372,0.4027,0.9822,2.3078,0.2598,DNS
chn_r6_Re1000_reg_por3,0.0125,0.0893,0.0893,0.0259,0.0195,0.0567,0.1255,0.8595,0.3068,0.2302,1.8486,4.8394,0.2465,DNS
chn_r4_Re1000_rnd_por1,0.0268,0.1118,0.1118,0.0207,0.0166,0.0249,-0.1068,0.7596,0.4870,0.4862,0.7322,3.4216,0.1582,DNS
chn_r4_Re1000_rnd_por2,0.0126,0.0945,0.0722,0.0169,0.0139,0.0324,-0.6456,0.8665,0.3108,0.3232,1.3431,4.1257,0.1057,DNS
chn_r4_Re1000_rnd_por3,0.0088,0.0981,0.0981,0.0161,0.0120,0.3209,-0.7409,0.9101,0.2189,0.2329,2.1683,7.7278,0.1027,DNS
chn_r6_Re1000_rnd_por1,0.0345,0.1392,0.1392,0.0287,0.0239,-0.0696,-0.2453,0.7522,0.4556,0.4986,0.5910,2.8296,0.2768,DNS
chn_r6_Re1000_rnd_por2,0.0172,0.1226,0.1098,0.0249,0.0202,-0.6719,-0.8405,0.8594,0.3046,0.3252,1.4673,4.3467,0.1751,DNS
chn_r6_Re1000_rnd_por3,0.0135,0.1523,0.1343,0.0265,0.0190,0.1890,-0.0560,0.9113,0.2542,0.2573,2.3707,8.7397,0.2603,DNS
chn_r4_Re1000_reg_ES1,0.0202,0.0398,0.0398,0.0140,0.0126,0.0457,0.0061,0.4919,0.1063,0.0086,-0.0323,1.5026,0.0256,DNS
chn_r4_Re1000_reg_ES2,0.0206,0.0398,0.0398,0.0139,0.0126,0.0391,-0.0012,0.4812,0.2124,0.0194,-0.0712,1.5050,0.0653,DNS
chn_r4_Re1000_reg_ES3,0.0221,0.0393,0.0393,0.0135,0.0122,0.0056,-0.0225,0.4376,0.6092,0.0317,-0.2140,1.5443,0.0455,DNS
chn_r6_Re1000_reg_ES1,0.0303,0.0591,0.0591,0.0210,0.0190,0.0443,0.0182,0.4862,0.1581,0.0145,-0.0308,1.4991,0.0712,DNS
chn_r6_Re1000_reg_ES2,0.0311,0.0591,0.0591,0.0210,0.0189,0.0282,-0.0687,0.4737,0.3162,0.0222,-0.0709,1.5031,0.1120,DNS
chn_r6_Re1000_reg_ES3,0.0329,0.0582,0.0582,0.0203,0.0182,0.0145,-0.0688,0.4339,0.9168,0.0479,-0.2033,1.5426,0.0640,DNS
chn_r4_Re1000_SGR,0.0252,0.0591,0.0591,0.0114,0.0093,0.1038,-0.0389,0.5723,0.3704,0.3982,0.3777,2.7839,0.0487,DNS
chn_r4_Re1000_RND1,0.0403,0.0750,0.0750,0.0130,0.0103,0.1165,0.1084,0.4618,0.0680,0.1691,-0.0694,2.9906,0.0084,DNS
chn_r4_Re1000_RND2,0.0405,0.0870,0.0870,0.0130,0.0105,0.1087,0.0779,0.5331,0.1170,0.3084,0.0041,2.7634,0.0176,DNS
chn_r4_Re1000_RND3,0.0392,0.0767,0.0694,0.0098,0.0078,0.0697,0.0510,0.4882,0.1750,0.4577,-0.0017,3.0310,0.0225,DNS
chn_r4_Re1000_RND4,0.0379,0.0717,0.0717,0.0082,0.0066,0.0392,0.0417,0.4700,0.2183,0.5576,0.0127,2.9409,0.0183,DNS
chn_r4_Re1000_RND5,0.0310,0.0700,0.0668,0.0089,0.0071,0.0350,0.0372,0.5565,0.3778,0.8410,0.0749,3.0179,0.0234,DNS
chn_r6_Re1000_SGR,0.0368,0.0876,0.0876,0.0184,0.0149,0.3119,0.1799,0.5786,0.4280,0.4628,0.3231,2.6859,0.1088,DNS
chn_r6_Re1000_RND1,0.0601,0.1056,0.0908,0.0156,0.0123,0.0450,0.0283,0.4292,0.0770,0.1834,-0.2196,3.2576,0.0120,DNS
chn_r6_Re1000_RND2,0.0584,0.0957,0.0921,0.0117,0.0093,0.1107,0.0569,0.3874,0.1081,0.2847,-0.0199,3.2670,0.0171,DNS
chn_r6_Re1000_RND3,0.0581,0.1151,0.1066,0.0162,0.0129,0.0609,0.0220,0.4929,0.2803,0.7596,0.0372,2.9768,0.0504,DNS
chn_r6_Re1000_RND4,0.0558,0.1203,0.1203,0.0145,0.0115,0.0448,0.0368,0.5350,0.3740,0.9887,0.0279,3.0361,0.0487,DNS
chn_r6_Re1000_RND5,0.0463,0.0969,0.0948,0.0126,0.0101,0.0373,0.0253,0.5215,0.5474,1.2042,0.0516,2.9325,0.0438,DNS
chn_SGR,0.0355,0.0885,0.0863,0.0171,0.0137,0.2882,0.1557,0.5978,0.4252,0.4405,0.4758,2.9703,0.0930,DNS
chn_TURB,0.0548,0.1241,0.0678,0.0184,0.0142,0.0070,-0.0060,0.5572,0.0967,0.0810,0.2001,3.4927,0.0241,DNS
chn_CUBE,0.0094,0.0691,0.0691,0.0228,0.0159,0.4200,0.5084,0.8642,0.2493,0.2465,2.1006,5.5686,0.1499,DNS
chn_r4_Re1000_rnd_por3_fullSpan,0.0088,0.0981,0.0981,0.0161,0.0120,0.3211,-0.7153,0.9101,0.2186,0.2335,2.1683,7.7278,0.1088,DNS
